"Group.1"	"Group.2"	"Group.3"	"Group.4"	"Species"	"spp"	"Wing.length.1"	"Wing.length.2"	"Country"	"Location"	"Altitude"	"hemisphere"	"Latitude"	"Latitude_cor"	"Longitude"	"Geological.age"	"Origin"	"Period"	"wl"	"dup"	"Lat1_cor"	"Lat_un"
"1"	"Chironomidae"	"Podonominae"	""	"Microzetia"	"mirabilis"	"Microzetia mirabilis"	1629.3	1542.8	"Frankreich, overseas territories"	"Crozet"	"371"	"N"	"-46.41783597"	-46.41783597	51.74943042	"rec"	"ZSM"	"recent"	1629.3	"Microzetia mirabilis 1629.3 1542.8"	-46.41783597	-46.41783597
"2"	"Chironomidae"	"Podonominae"	""	"Microzetia"	"mirabilis"	"Microzetia mirabilis"	1848.9	1928.8	"Frankreich, overseas territories"	"Crozet"	"371"	"N"	"-46.41783597"	-46.41783597	51.74943042	"rec"	"ZSM"	"recent"	1848.9	"Microzetia mirabilis 1848.9 1928.8"	-46.41783597	-46.41783597
"3"	"Chironomidae"	"Podonominae"	""	"Podonomopsis"	""	"Podonomopsis muticus"	2250	NA	"Argentina"	""	""	"N"	"-41.186149"	41.186149	-71.40976308	"rec"	"Brundin, 1966"	"recent"	2250	"Podonomopsis muticus 2250 NA"	41.186149	-41.186149
"4"	"Chironomidae"	"Podonominae"	""	"Podochlus"	""	"Podochlus tenuicornis"	1175	NA	"Argentina/Chilie"	""	""	"N"	"-41.09909258"	41.09909258	-71.57393352	"rec"	"Brundin, 1966"	"recent"	1175	"Podochlus tenuicornis 1175 NA"	41.09909258	-41.09909258
"5"	"Chironomidae"	"Podonominae"	""	"Parochlus"	""	"Parochlus cristatus"	2800	NA	"Argentina"	""	"1300"	"N"	"-40.91"	40.91	-71.52856039	"rec"	"Brundin, 1966"	"recent"	2800	"Parochlus cristatus 2800 NA"	40.91	-40.91
"6"	"Chironomidae"	"Chironominae"	"Tanytarsini"	"Tanytarsus"	""	"Tanytarsus aterrimus"	2050	NA	"South Africa"	""	""	"N"	"-33.78925826"	33.78925826	19.05566849	"rec"	"A REVIEW OF AFROTROPICAL TANYTARSUS VAN DER VULP (DIPTERA: CHIRONOMIDAE) Ekrem, 2001"	"recent"	2050	"Tanytarsus aterrimus 2050 NA"	33.78925826	-33.78925826
"7"	"Chironomidae"	"Orthocladiinae"	""	"Paratrichocladius"	""	"Paratrichocladius micans"	1650	NA	"Afrotropics"	""	""	"N"	"-31.64020064"	31.64020064	29.5392221	"rec"	"Freeman 4(7):285-366 (1956)"	""	1650	"Paratrichocladius micans 1650 NA"	31.64020064	-31.64020064
"8"	"Chironomidae"	"Chironominae"	""	"Beardius"	""	"Beardius mileneae"	1930	NA	""	""	"1670"	"N"	"-28.07"	28.07	-49.28	"rec"	" Pinho et al., 2013 http://dx.doi.org/10.11646/zootaxa.3742.1.52"	"recent"	1930	"Beardius mileneae 1930 NA"	28.07	-28.07
"9"	"Chironomidae"	"Chironominae"	""	"Beardius"	""	"Beardius nebularius"	1850	NA	""	""	"1670"	"N"	"-28.07"	28.07	-49.28	"rec"	" Pinho et al., 2013 http://dx.doi.org/10.11646/zootaxa.3742.1.53"	"recent"	1850	"Beardius nebularius 1850 NA"	28.07	-28.07
"10"	""	""	""	"Pseudosmittia"	"Pseudosmittia sp."	""	1439	0	"Pretoria, Gauteng, South Africa. "	"Onderstepoort Veterinary Institute"	"1221"	"N"	"-25.65029805"	25.65029805	28.18302844	"rec"	"ZSM"	"recent"	1439	" 1439 0"	25.65029805	-25.65029805
